entity,period,million_bpd
China,2020,4.0251462978142083
China,2021,4.1645010630136987
China,2022,4.5156134273972599
China,2023,5.0272619534246576
China,2024,4.7846856393442625
China,1Q25,5.351104733333333
India,2020,2.24728206284153
India,2021,2.3061005808219179
India,2022,2.4247943452054797
India,2023,1.9768479205479452
India,2024,1.8853302295081966
India,1Q25,2.0847073444444444
South Korea,2020,1.6598049043715848
South Korea,2021,1.3940317150684931
South Korea,2022,1.6941390246575341
South Korea,2023,1.7419817369863015
South Korea,2024,1.7266257540983607
South Korea,1Q25,1.7038058555555555
Japan,2020,1.8871674016393443
Japan,2021,1.754459
Japan,2022,1.902344504109589
Japan,2023,1.6601920575342466
Japan,2024,1.5153605710382514
Japan,1Q25,1.5539696444444444
Other Asia,2020,1.9889272568306009
Other Asia,2021,2.0715953178082191
Other Asia,2022,2.2088526904109589
Other Asia,2023,2.0712406356164386
Other Asia,2024,2.0718533934426229
Other Asia,1Q25,1.9806085333333334
Europe,2020,0.57984321311475406
Europe,2021,0.53901618630136983
Europe,2022,0.89452013424657528
Europe,2023,0.97798810958904114
Europe,2024,0.72060343442622954
Europe,1Q25,0.53445374444444438
United States,2020,0.57644890437158469
United States,2021,0.61368292876712327
United States,2022,0.69069979726027397
United States,2023,0.48756993698630141
United States,2024,0.48435274590163929
United States,1Q25,0.35647435555555557
Saudi Arabia,2020,0.27848319125683058
Saudi Arabia,2021,0.43509773424657538
Saudi Arabia,2022,0.50779521917808224
Saudi Arabia,2023,0.27797684109589038
Saudi Arabia,2024,0.22803622404371585
Saudi Arabia,1Q25,0
Other,2020,1.0249076803278694
Other,2021,1.111450975342466
Other,2022,1.1191431780821937
Other,2023,1.3219146904109582
Other,2024,0.90176581693988922
Other,1Q25,0.64349061111111006
