series,period,million_bpd
Total oil flows through Strait of Hormuz,2020,19.074761338797813
Total oil flows through Strait of Hormuz,2021,19.388807
Total oil flows through Strait of Hormuz,2022,21.416660345205479
Total oil flows through Strait of Hormuz,2023,21.388755284931506
Total oil flows through Strait of Hormuz,2024,20.261741721311477
Total oil flows through Strait of Hormuz,1Q25,20.103206311111112
crude and condensate,2020,14.268010912568307
crude and condensate,2021,14.389935501369862
crude and condensate,2022,15.957902320547946
crude and condensate,2023,15.542973882191781
crude and condensate,2024,14.318613808743168
crude and condensate,1Q25,14.208614822222222
petroleum products,2020,4.806750426229506
petroleum products,2021,4.9988714986301375
petroleum products,2022,5.4587580246575325
petroleum products,2023,5.8457814027397248
petroleum products,2024,5.9431279125683094
petroleum products,1Q25,5.8945914888888904
